1,8,17,26,32,33,44,46,50,61,68,76,79,81,85,87,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,3,"12","22","31","42","43","51","53","61","71","73","82","83","91","92","93","","","","",2,1,0,1,0,0,0,0,"XJK"
2,1,10,20,36,39,40,49,53,57,63,69,70,82,84,90,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,"12","21","32","41","42","51","53","61","63","72","73","83","91","92","93","","","","",1,2,0,1,0,0,0,0,"MTH"
3,9,14,16,25,37,43,48,51,52,64,67,74,78,86,88,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4,"11","22","23","31","42","52","53","61","63","71","73","82","83","91","92","","","","",0,1,3,0,1,0,0,0,"ACY"
4,2,4,11,15,21,24,31,34,42,45,54,59,62,75,89,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,"11","13","22","23","32","33","41","43","52","53","61","62","72","81","91","","","","",1,1,0,0,0,0,0,0,"DQD"
5,5,7,19,22,23,27,30,35,41,56,58,65,71,77,83,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,"11","12","23","31","32","33","41","42","51","61","63","72","82","83","93","","","","",2,0,1,1,0,0,0,0,"MNF"
6,3,6,12,13,18,28,29,38,47,55,60,66,72,73,80,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,"11","13","21","22","23","31","32","42","53","62","72","73","81","83","91","","","","",1,1,0,0,0,0,0,0,"MVT"
7,8,17,23,24,30,38,40,44,49,51,56,60,72,85,88,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,3,"13","22","31","33","42","43","51","52","53","61","62","71","82","91","93","","","","",1,2,0,1,0,0,0,0,"CJE"
8,2,5,9,15,28,39,46,52,57,63,67,78,79,81,87,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,"11","12","13","21","33","42","52","61","63","72","73","81","83","91","92","","","","",2,1,0,1,0,0,0,0,"VYR"
9,7,16,19,21,27,29,33,41,47,54,55,68,71,86,90,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,"11","21","23","31","32","33","42","52","53","62","63","71","82","91","93","","","","",0,1,1,0,0,0,0,0,"MWX"
10,1,3,10,12,22,31,32,45,53,58,66,69,70,77,89,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,"12","13","21","23","33","41","42","51","61","62","71","72","82","83","93","","","","",0,1,1,0,0,0,0,0,"VZD"
11,4,11,13,14,26,34,37,43,48,50,62,74,76,82,84,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,5,"11","21","22","23","32","41","43","52","53","62","71","82","83","91","93","","","","",0,1,4,0,0,1,0,0,"QKV"
12,6,18,20,25,35,36,42,59,61,64,65,73,75,80,83,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,"12","23","31","33","41","42","53","62","71","72","73","81","83","91","92","","","","",0,1,1,0,0,0,0,0,"ZIC"
13,3,13,19,28,32,36,44,51,59,65,69,75,82,83,84,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,4,"12","22","23","33","42","43","51","61","63","71","72","81","91","92","93","","","","",1,0,3,0,1,0,0,0,"LBS"
14,8,18,21,26,31,33,35,46,48,52,66,78,81,86,88,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,4,"11","23","31","32","41","42","43","52","53","61","72","83","91","92","93","","","","",1,1,2,1,0,0,0,0,"NPT"
